P-value,Liczba,Test,n
0.2578990352923394,Pi,monobit,5000
0.46210136952114556,Pi,monobit,5000
0.7772974107895216,Pi,monobit,5000
0.41207709961839933,Pi,monobit,5000
0.5337748847220425,Pi,monobit,5000
0.3654141708778589,Pi,monobit,5000
0.8430529669371443,Pi,monobit,5000
0.86524164818008,Pi,monobit,5000
0.20309178757716784,Pi,monobit,5000
0.4972503293052353,Pi,monobit,5000
0.6713732405408726,Pi,monobit,5000
0.7772974107895216,Pi,monobit,5000
0.3805885381012788,Pi,monobit,5000
0.6508740052044173,Pi,monobit,5000
0.1413500534733485,Pi,monobit,5000
0.038946490486881924,Pi,monobit,5000
0.6921199319709659,Pi,monobit,5000
0.07476405818987053,Pi,monobit,5000
0.46210136952114556,Pi,monobit,5000
0.46210136952114556,Pi,monobit,5000
0.18372898102393753,Pi,monobit,5000
0.10090379712028796,Pi,monobit,5000
0.22389973167644328,Pi,monobit,5000
0.9548888938548752,Pi,monobit,5000
0.24618924912503748,Pi,monobit,5000
0.3805885381012788,Pi,monobit,5000
0.05098396474363742,Pi,monobit,5000
0.7772974107895216,Pi,monobit,5000
0.0844661189733531,Pi,monobit,5000
0.41207709961839933,Pi,monobit,5000
0.6713732405408726,Pi,monobit,5000
0.977435425308155,Pi,monobit,5000
0.9099218741589818,Pi,monobit,5000
0.24618924912503748,Pi,monobit,5000
0.5716076449533316,Pi,monobit,5000
0.7342999410462081,Pi,monobit,5000
0.9099218741589818,Pi,monobit,5000
0.86524164818008,Pi,monobit,5000
0.7131002767842509,Pi,monobit,5000
0.6306354706553414,Pi,monobit,5000
0.7772974107895216,Pi,monobit,5000
0.0844661189733531,Pi,monobit,5000
0.9323784056066915,Pi,monobit,5000
0.590990546580306,Pi,monobit,5000
0.14916198229905797,Pi,monobit,5000
0.02545299065730311,Pi,monobit,5000
0.13385641336489185,Pi,monobit,5000
0.03389485352468924,Pi,monobit,5000
0.5716076449533316,Pi,monobit,5000
0.027371877973399794,Pi,monobit,5000
0.12667384161211048,Pi,monobit,5000
0.11979493042591827,Pi,monobit,5000
0.3654141708778589,Pi,monobit,5000
0.2133126808260677,Pi,monobit,5000
0.6306354706553414,Pi,monobit,5000
0.590990546580306,Pi,monobit,5000
0.9323784056066915,Pi,monobit,5000
0.9323784056066915,Pi,monobit,5000
0.86524164818008,Pi,monobit,5000
0.396143909152074,Pi,monobit,5000
0.8430529669371443,Pi,monobit,5000
0.44506074954360964,Pi,monobit,5000
0.396143909152074,Pi,monobit,5000
0.9099218741589818,Pi,monobit,5000
0.9548888938548752,Pi,monobit,5000
0.6921199319709659,Pi,monobit,5000
0.41207709961839933,Pi,monobit,5000
0.86524164818008,Pi,monobit,5000
0.8430529669371443,Pi,monobit,5000
0.19323227845223823,Pi,monobit,5000
0.46210136952114556,Pi,monobit,5000
0.02545299065730311,Pi,monobit,5000
0.7990641609813043,Pi,monobit,5000
0.6921199319709659,Pi,monobit,5000
0.6306354706553414,Pi,monobit,5000
0.10691767237014327,Pi,monobit,5000
0.1745763503561819,Pi,monobit,5000
0.07476405818987053,Pi,monobit,5000
0.11979493042591827,Pi,monobit,5000
0.7557040884008712,Pi,monobit,5000
0.8430529669371443,Pi,monobit,5000
0.396143909152074,Pi,monobit,5000
0.7557040884008712,Pi,monobit,5000
0.35062331203704566,Pi,monobit,5000
0.2824632471944093,Pi,monobit,5000
0.4795001221869535,Pi,monobit,5000
0.396143909152074,Pi,monobit,5000
0.3805885381012788,Pi,monobit,5000
0.86524164818008,Pi,monobit,5000
0.7772974107895216,Pi,monobit,5000
0.7772974107895216,Pi,monobit,5000
0.2953219221452543,Pi,monobit,5000
0.41207709961839933,Pi,monobit,5000
0.7557040884008712,Pi,monobit,5000
0.590990546580306,Pi,monobit,5000
0.017507212997535104,Pi,monobit,5000
0.1413500534733485,Pi,monobit,5000
0.5337748847220425,Pi,monobit,5000
0.8209881868018942,Pi,monobit,5000
0.1413500534733485,Pi,monobit,5000
0.396143909152074,Pi,monobit,5000
0.1745763503561819,Pi,monobit,5000
0.15729920705028522,Pi,monobit,5000
0.061934844921288645,Pi,monobit,5000
0.10691767237014327,Pi,monobit,5000
0.04170343039943525,Pi,monobit,5000
0.86524164818008,Pi,monobit,5000
0.590990546580306,Pi,monobit,5000
0.6713732405408726,Pi,monobit,5000
0.7557040884008712,Pi,monobit,5000
0.7990641609813043,Pi,monobit,5000
0.8209881868018942,Pi,monobit,5000
0.2824632471944093,Pi,monobit,5000
0.6921199319709659,Pi,monobit,5000
0.7342999410462081,Pi,monobit,5000
0.8209881868018942,Pi,monobit,5000
0.7131002767842509,Pi,monobit,5000
0.3805885381012788,Pi,monobit,5000
0.09516257308478315,Pi,monobit,5000
0.42838423617623156,Pi,monobit,5000
0.6508740052044173,Pi,monobit,5000
0.44506074954360964,Pi,monobit,5000
0.8875370839817152,Pi,monobit,5000
0.6921199319709659,Pi,monobit,5000
0.44506074954360964,Pi,monobit,5000
0.11321210983474539,Pi,monobit,5000
0.19323227845223823,Pi,monobit,5000
0.8209881868018942,Pi,monobit,5000
0.35062331203704566,Pi,monobit,5000
0.6306354706553414,Pi,monobit,5000
0.10691767237014327,Pi,monobit,5000
0.08968602177036455,Pi,monobit,5000
0.3654141708778589,Pi,monobit,5000
0.590990546580306,Pi,monobit,5000
0.6713732405408726,Pi,monobit,5000
0.3654141708778589,Pi,monobit,5000
0.2824632471944093,Pi,monobit,5000
1.0,Pi,monobit,5000
0.2699895687014213,Pi,monobit,5000
0.006077429111267518,Pi,monobit,5000
0.0544385634385669,Pi,monobit,5000
0.86524164818008,Pi,monobit,5000
0.8875370839817152,Pi,monobit,5000
0.7990641609813043,Pi,monobit,5000
0.5716076449533316,Pi,monobit,5000
0.30856687686124884,Pi,monobit,5000
0.22389973167644328,Pi,monobit,5000
0.6508740052044173,Pi,monobit,5000
0.6306354706553414,Pi,monobit,5000
0.24618924912503748,Pi,monobit,5000
0.3654141708778589,Pi,monobit,5000
0.3805885381012788,Pi,monobit,5000
0.5153446099983203,Pi,monobit,5000
0.22389973167644328,Pi,monobit,5000
0.9548888938548752,Pi,monobit,5000
0.4795001221869535,Pi,monobit,5000
0.7990641609813043,Pi,monobit,5000
0.3654141708778589,Pi,monobit,5000
0.11979493042591827,Pi,monobit,5000
0.610670298871336,Pi,monobit,5000
1.0,Pi,monobit,5000
0.16576849565979224,Pi,monobit,5000
0.6921199319709659,Pi,monobit,5000
0.2824632471944093,Pi,monobit,5000
0.9099218741589818,Pi,monobit,5000
0.6713732405408726,Pi,monobit,5000
0.7342999410462081,Pi,monobit,5000
0.24618924912503748,Pi,monobit,5000
0.6306354706553414,Pi,monobit,5000
0.6306354706553414,Pi,monobit,5000
0.5525323815739747,Pi,monobit,5000
0.11979493042591827,Pi,monobit,5000
0.2699895687014213,Pi,monobit,5000
0.2699895687014213,Pi,monobit,5000
0.5337748847220425,Pi,monobit,5000
0.2824632471944093,Pi,monobit,5000
0.9099218741589818,Pi,monobit,5000
0.2824632471944093,Pi,monobit,5000
0.23485728854500554,Pi,monobit,5000
0.30856687686124884,Pi,monobit,5000
0.86524164818008,Pi,monobit,5000
0.5153446099983203,Pi,monobit,5000
0.610670298871336,Pi,monobit,5000
0.9099218741589818,Pi,monobit,5000
0.9323784056066915,Pi,monobit,5000
0.6921199319709659,Pi,monobit,5000
0.8430529669371443,Pi,monobit,5000
0.5153446099983203,Pi,monobit,5000
0.4972503293052353,Pi,monobit,5000
0.44506074954360964,Pi,monobit,5000
0.2953219221452543,Pi,monobit,5000
0.6306354706553414,Pi,monobit,5000
0.8430529669371443,Pi,monobit,5000
0.977435425308155,Pi,monobit,5000
0.2699895687014213,Pi,monobit,5000
0.11321210983474539,Pi,monobit,5000
0.7990641609813043,Pi,monobit,5000
0.2953219221452543,Pi,monobit,5000
0.6921199319709659,Pi,monobit,5000
0.9323784056066915,Pi,monobit,5000
0.10090379712028796,e,monobit,5000
0.2953219221452543,e,monobit,5000
0.8430529669371443,e,monobit,5000
0.977435425308155,e,monobit,5000
0.7990641609813043,e,monobit,5000
0.7772974107895216,e,monobit,5000
0.977435425308155,e,monobit,5000
0.4795001221869535,e,monobit,5000
0.1745763503561819,e,monobit,5000
0.6713732405408726,e,monobit,5000
0.023651616655355978,e,monobit,5000
0.1745763503561819,e,monobit,5000
0.7342999410462081,e,monobit,5000
0.5337748847220425,e,monobit,5000
0.22389973167644328,e,monobit,5000
0.44506074954360964,e,monobit,5000
0.46210136952114556,e,monobit,5000
0.4795001221869535,e,monobit,5000
0.7131002767842509,e,monobit,5000
0.8209881868018942,e,monobit,5000
0.0013928788834582928,e,monobit,5000
0.5153446099983203,e,monobit,5000
0.08968602177036455,e,monobit,5000
0.11321210983474539,e,monobit,5000
0.22389973167644328,e,monobit,5000
0.6921199319709659,e,monobit,5000
0.6921199319709659,e,monobit,5000
0.7990641609813043,e,monobit,5000
0.09516257308478315,e,monobit,5000
0.058086284741634575,e,monobit,5000
0.5337748847220425,e,monobit,5000
0.44506074954360964,e,monobit,5000
0.5153446099983203,e,monobit,5000
0.5525323815739747,e,monobit,5000
0.6508740052044173,e,monobit,5000
0.5153446099983203,e,monobit,5000
0.08968602177036455,e,monobit,5000
0.023651616655355978,e,monobit,5000
0.2133126808260677,e,monobit,5000
0.8209881868018942,e,monobit,5000
0.06599205505934758,e,monobit,5000
0.7131002767842509,e,monobit,5000
0.2699895687014213,e,monobit,5000
0.8209881868018942,e,monobit,5000
0.42838423617623156,e,monobit,5000
1.0,e,monobit,5000
0.10090379712028796,e,monobit,5000
0.9548888938548752,e,monobit,5000
0.2578990352923394,e,monobit,5000
0.42838423617623156,e,monobit,5000
0.7131002767842509,e,monobit,5000
0.20309178757716784,e,monobit,5000
0.8875370839817152,e,monobit,5000
0.3654141708778589,e,monobit,5000
0.04170343039943525,e,monobit,5000
0.16576849565979224,e,monobit,5000
0.5525323815739747,e,monobit,5000
0.3221988061625818,e,monobit,5000
0.11979493042591827,e,monobit,5000
0.15729920705028522,e,monobit,5000
0.5525323815739747,e,monobit,5000
0.6713732405408726,e,monobit,5000
0.7131002767842509,e,monobit,5000
0.590990546580306,e,monobit,5000
0.30856687686124884,e,monobit,5000
0.6508740052044173,e,monobit,5000
0.19323227845223823,e,monobit,5000
0.4972503293052353,e,monobit,5000
0.3805885381012788,e,monobit,5000
0.977435425308155,e,monobit,5000
0.3221988061625818,e,monobit,5000
0.9099218741589818,e,monobit,5000
0.7342999410462081,e,monobit,5000
0.9099218741589818,e,monobit,5000
0.8209881868018942,e,monobit,5000
0.3221988061625818,e,monobit,5000
0.2578990352923394,e,monobit,5000
0.977435425308155,e,monobit,5000
0.15729920705028522,e,monobit,5000
0.4795001221869535,e,monobit,5000
0.22389973167644328,e,monobit,5000
0.9548888938548752,e,monobit,5000
0.13385641336489185,e,monobit,5000
0.396143909152074,e,monobit,5000
0.4795001221869535,e,monobit,5000
0.2824632471944093,e,monobit,5000
0.3805885381012788,e,monobit,5000
0.7342999410462081,e,monobit,5000
0.021961911626796615,e,monobit,5000
0.5337748847220425,e,monobit,5000
0.8209881868018942,e,monobit,5000
0.5337748847220425,e,monobit,5000
1.0,e,monobit,5000
0.15729920705028522,e,monobit,5000
0.017507212997535104,e,monobit,5000
0.07026580698642193,e,monobit,5000
0.41207709961839933,e,monobit,5000
0.7772974107895216,e,monobit,5000
0.4795001221869535,e,monobit,5000
0.7557040884008712,e,monobit,5000
0.24618924912503748,e,monobit,5000
0.35062331203704566,e,monobit,5000
0.396143909152074,e,monobit,5000
0.3805885381012788,e,monobit,5000
0.9099218741589818,e,monobit,5000
0.19323227845223823,e,monobit,5000
0.86524164818008,e,monobit,5000
0.7557040884008712,e,monobit,5000
0.5716076449533316,e,monobit,5000
0.3654141708778589,e,monobit,5000
0.3805885381012788,e,monobit,5000
0.6921199319709659,e,monobit,5000
0.2824632471944093,e,monobit,5000
0.8209881868018942,e,monobit,5000
0.9323784056066915,e,monobit,5000
0.6713732405408726,e,monobit,5000
0.5153446099983203,e,monobit,5000
0.42838423617623156,e,monobit,5000
0.9323784056066915,e,monobit,5000
0.18372898102393753,e,monobit,5000
0.6508740052044173,e,monobit,5000
0.6508740052044173,e,monobit,5000
0.0363459345857311,e,monobit,5000
0.5337748847220425,e,monobit,5000
0.20309178757716784,e,monobit,5000
0.061934844921288645,e,monobit,5000
0.24618924912503748,e,monobit,5000
0.15729920705028522,e,monobit,5000
0.6306354706553414,e,monobit,5000
0.590990546580306,e,monobit,5000
0.020378220475768094,e,monobit,5000
0.18372898102393753,e,monobit,5000
0.09516257308478315,e,monobit,5000
0.0032655913304235895,e,monobit,5000
0.5337748847220425,e,monobit,5000
0.2824632471944093,e,monobit,5000
0.7342999410462081,e,monobit,5000
0.9548888938548752,e,monobit,5000
0.7990641609813043,e,monobit,5000
0.86524164818008,e,monobit,5000
0.86524164818008,e,monobit,5000
0.9099218741589818,e,monobit,5000
0.4972503293052353,e,monobit,5000
0.44506074954360964,e,monobit,5000
0.44506074954360964,e,monobit,5000
0.24618924912503748,e,monobit,5000
0.590990546580306,e,monobit,5000
0.2578990352923394,e,monobit,5000
0.46210136952114556,e,monobit,5000
0.6713732405408726,e,monobit,5000
0.05098396474363742,e,monobit,5000
0.5716076449533316,e,monobit,5000
0.12667384161211048,e,monobit,5000
0.590990546580306,e,monobit,5000
0.11979493042591827,e,monobit,5000
0.46210136952114556,e,monobit,5000
0.20309178757716784,e,monobit,5000
0.86524164818008,e,monobit,5000
0.396143909152074,e,monobit,5000
0.41207709961839933,e,monobit,5000
0.7342999410462081,e,monobit,5000
0.7131002767842509,e,monobit,5000
0.8209881868018942,e,monobit,5000
0.24618924912503748,e,monobit,5000
0.5337748847220425,e,monobit,5000
0.5525323815739747,e,monobit,5000
0.977435425308155,e,monobit,5000
0.10691767237014327,e,monobit,5000
0.7557040884008712,e,monobit,5000
0.41207709961839933,e,monobit,5000
0.3654141708778589,e,monobit,5000
0.5337748847220425,e,monobit,5000
0.23485728854500554,e,monobit,5000
0.41207709961839933,e,monobit,5000
0.35062331203704566,e,monobit,5000
0.7772974107895216,e,monobit,5000
0.610670298871336,e,monobit,5000
0.18372898102393753,e,monobit,5000
0.2824632471944093,e,monobit,5000
0.6713732405408726,e,monobit,5000
0.6921199319709659,e,monobit,5000
0.23485728854500554,e,monobit,5000
0.35062331203704566,e,monobit,5000
0.10691767237014327,e,monobit,5000
0.30856687686124884,e,monobit,5000
0.7990641609813043,e,monobit,5000
0.6921199319709659,e,monobit,5000
0.4972503293052353,e,monobit,5000
0.5153446099983203,e,monobit,5000
0.6713732405408726,e,monobit,5000
0.7342999410462081,e,monobit,5000
0.5525323815739747,e,monobit,5000
0.22389973167644328,e,monobit,5000
0.11321210983474539,e,monobit,5000
0.7557040884008712,e,monobit,5000
0.9548888938548752,e,monobit,5000
0.9548888938548752,e,monobit,5000
0.35062331203704566,e,monobit,5000
0.7557040884008712,e,monobit,5000
0.5716076449533316,e,monobit,5000
0.977435425308155,sqrt2,monobit,5000
0.3654141708778589,sqrt2,monobit,5000
0.5716076449533316,sqrt2,monobit,5000
0.2824632471944093,sqrt2,monobit,5000
0.08968602177036455,sqrt2,monobit,5000
0.6306354706553414,sqrt2,monobit,5000
0.5525323815739747,sqrt2,monobit,5000
0.20309178757716784,sqrt2,monobit,5000
0.2699895687014213,sqrt2,monobit,5000
