P-value,Test,Generator,n
0.24573870033984926,Furier,RC,1000
0.11436904487568966,KS,Ziff,1000
0.9484205783864964,Chi,Ziff,1000
0.08165851558521563,Furier,Ziff,1000
0.8568443674035592,KS,Marsagli,1000
0.0345630919775507,Chi,Marsagli,1000
1.0,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.3222301300376701,poker,RC,1000
0.742088251428605,poker,Ziff,1000
0.9999946943818305,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
3.2940363934127184e-12,Furier,GLCG,1000
0.9946487838325487,KS,RC,1000
0.0013321631384786148,Chi,RC,1000
0.24573870033984926,Furier,RC,1000
0.037005291429456855,KS,Ziff,1000
0.9488398034566018,Chi,Ziff,1000
0.7716705035436164,Furier,Ziff,1000
0.9407061262285717,KS,Marsagli,1000
0.08042685493936352,Chi,Marsagli,1000
0.04222117524716241,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.6770163635545858,poker,RC,1000
0.9767259304855863,poker,Ziff,1000
0.6975746165954975,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
3.515281577326978e-08,Furier,GLCG,1000
0.9952031869316423,KS,RC,1000
0.0019605251162655435,Chi,RC,1000
0.38398816339805664,Furier,RC,1000
0.2845005372268373,KS,Ziff,1000
0.2384141104638986,Chi,Ziff,1000
0.5616577150130424,Furier,Ziff,1000
0.7177828351721067,KS,Marsagli,1000
0.6710765855761276,Chi,Marsagli,1000
0.7716705035436164,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.9630398251488247,poker,RC,1000
0.742088251428605,poker,Ziff,1000
0.742088251428605,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
3.2940363934127184e-12,Furier,GLCG,1000
0.9917944788545888,KS,RC,1000
0.6007837849797051,Chi,RC,1000
0.38398816339805664,Furier,RC,1000
0.3483759892264209,KS,Ziff,1000
0.7873847186530814,Chi,Ziff,1000
0.146793087308571,Furier,Ziff,1000
0.2172142723236269,KS,Marsagli,1000
0.7901120309524113,Chi,Marsagli,1000
0.24573870033984926,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.8150227569770738,poker,RC,1000
0.9767259304855863,poker,Ziff,1000
0.9767259304855863,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
6.4824731015052594e-09,Furier,GLCG,1000
0.9998163945851938,KS,RC,1000
0.002758111369958627,Chi,RC,1000
0.5616577150130424,Furier,RC,1000
0.37628004823397143,KS,Ziff,1000
0.709415966127968,Chi,Ziff,1000
0.146793087308571,Furier,Ziff,1000
0.7237535186024044,KS,Marsagli,1000
0.3869551964068281,Chi,Marsagli,1000
0.7716705035436164,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.5017753475811946,poker,RC,1000
0.9644783232690741,poker,Ziff,1000
0.9767259304855863,poker,Marsagli,1000
1.0,KS,GLCG,1000
0.0,Chi,GLCG,1000
3.2940363934127184e-12,Furier,GLCG,1000
0.8872533073477666,KS,RC,1000
0.3946245572244962,Chi,RC,1000
0.38398816339805664,Furier,RC,1000
0.22070936070044955,KS,Ziff,1000
0.9800921351793626,Chi,Ziff,1000
0.02025858031659371,Furier,Ziff,1000
0.3571289165688649,KS,Marsagli,1000
0.802789014078557,Chi,Marsagli,1000
0.24573870033984926,Furier,Marsagli,1000
0.0,poker,GLCG,1000
0.35232769864386726,poker,RC,1000
